"buyingcomp","compregion","compcountry","product","complementprod"
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit DRV2605L Haptic Motor Controller""","""Vibrating Mini Motor Disc"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 Basic Proto""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 Basic Proto""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 Basic Proto""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 Bluefruit LE""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 Bluefruit LE""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 Bluefruit LE""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""uFL SMT Antenna Connector"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather HUZZAH with ESP8266 - Loose Headers""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather HUZZAH with ESP8266 - Loose Headers""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather HUZZAH with ESP8266 - Loose Headers""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather M0 Adalogger""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""EXP-Tech""","""Europe""","""Germany""","""Adafruit Feather M0 Adalogger""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
